Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Mature,A,Unripe,R70,M_CA_UN_70,4D,114.0,Unripe,2025-09-18,,,,,"(1-2) = Creamy White, (3) = White",1.0,,1.0,,,9.0,,1.0,,1.0,More Green Than Brown,,1.7,,,,50.3,54.5,16.2,6.81,6.82,5.88,6.5,5.83,6.3,6.35,6.16,36.0,36.5,36.5,36.33,0.0,4.0
Mature,A,Ripe,R71,M_CA_RI_71,4D,114.0,Ripe,2025-09-18,,5.0,,,Yellow Orange,1.0,2.0,1.0,4.0,1.0,9.0,7.0,1.0,4.0,1.0,Green,More Brown than Green,1.69,,,,47.4,53.0,18.0,0.44,0.47,0.43,0.45,7.85,7.88,7.93,7.89,36.0,36.5,40.0,37.5,0.0,4.0
Mature,A,Ripe,R72,M_CA_RI_72,4D,114.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,2.0,4.0,1.0,9.0,7.0,1.0,3.0,1.0,Green,More Green than Brown,2.22,,,,54.6,60.2,18.8,0.42,0.33,0.38,0.38,7.7,8.75,6.35,7.6,38.0,36.0,36.0,36.67,0.0,4.0
Mature,A,Ripe,R73,M_CA_RI_73,6D,114.0,Ripe,2025-09-18,,11.0,,,Yellow Orange,1.0,3.0,3.0,5.0,1.0,9.0,7.0,1.0,3.0,1.0,Green,More Green than Brown,2.2,,,,51.6,58.5,16.3,0.69,0.66,1.16,0.84,8.7,9.7,10.25,9.55,32.0,31.5,34.0,32.5,0.0,6.0
Mature,A,Ripe,R74,M_CA_RI_74,5D,114.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,5.0,,1.0,8.0,8.0,1.0,3.0,1.0,Green,Green,2.01,,,,49.1,56.0,11.4,0.76,0.42,0.38,0.52,8.95,8.98,9.63,9.19,,,,,0.0,5.0
Mature,A,Ripe,R75,M_CA_RI_75,5D,114.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,3.0,5.0,4.5,1.0,8.0,7.0,1.0,3.0,1.0,Green,Green,2.18,,,,50.1,57.2,22.2,0.34,0.26,0.49,0.36,7.58,7.53,7.45,7.52,37.5,39.5,41.5,39.5,0.0,5.0
Mature,A,Ripe,R76,M_CA_RI_76,2D,114.0,Overripe,2025-09-18,,,,5.0,Yellow,1.0,4.0,5.0,4.5,,8.0,3.0,1.0,5.0,2.0,Green,More Green than Brown w/ Yellow Orange at Deniscence and Bottom,1.97,1.75,11.17,,49.0,56.6,19.7,0.38,0.42,0.63,0.48,9.75,9.45,9.55,9.58,41.5,40.0,39.5,40.33,0.0,2.0
Mature,A,Ripe,R77,M_CA_RI_77,6D,113.0,Ripe,2025-09-18,,5.0,,,Yellow Orange,1.0,2.0,3.0,,1.0,8.0,5.0,1.0,2.0,2.0,Green,Green,3.6,,,,62.3,68.3,26.0,0.59,0.41,0.4,0.47,7.18,7.1,7.45,7.24,35.5,36.0,38.0,36.5,0.0,6.0
Mature,A,Overripe,R78,M_CA_OR_78,5D,114.0,Ripe,2025-09-18,,5.0,,,Yellow,1.0,2.0,4.0,4.5,1.0,9.0,8.0,1.0,2.0,1.0,Green,More Green than Brown,3.2,,,,57.9,65.9,26.7,0.44,0.24,0.47,0.38,10.68,9.05,9.73,9.82,37.5,38.5,36.0,37.33,0.0,5.0
Mature,A,Overripe,R79,M_CA_OR_79,3D,111.0,Overripe,2025-09-18,,,,9.0,(1-3) = Yellow Orange,4.0,5.0,5.0,4.5,,9.0,2.0,3.0,5.0,2.0,Green,Dark Brown with Yellow Orange Bottom near Dehisence area and Cracked Suture Lines,1.9,1.53,19.47,18.46,45.9,56.9,19.55,0.26,0.22,0.0,0.16,8.15,7.9,8.25,8.1,32.0,39.5,33.5,35.0,0.0,3.0
